ticker,company,sector,meeting_year,form,filing_date,accession,n_words,n_sentences,theme_integrity_responsibility,theme_operational_excellence,theme_innovation_science,theme_people_talent,theme_diversity_inclusion,theme_customer_client_focus,theme_community_social_good,theme_environmental_stewardship,theme_leadership_governance,theme_human_progress_wellbeing,theme_profitable_growth,theme_heritage_longevity,theme_safety,dominant_theme_classical,dominant_theme_distinctive,tone_positive,tone_negative,tone_uncertainty,net_tone,avg_sentence_len,flesch_reading_ease,sim_to_prev,llm_themes,llm_dominant_theme,llm_stakeholder_orientation,llm_summary
F,Ford Motor,Consumer Discretionary,2017,DEF 14A,2017-03-31,0001047469-17-002228,39746,2466,2.742,6.944,1.635,3.371,2.29,3.824,0.302,1.132,27.047,0.604,7.221,0.252,0.075,leadership_governance,operational_excellence,13.712,1.409,6.164,0.814,16.12,35.4,0.788,,,,
F,Ford Motor,Consumer Discretionary,2018,DEF 14A,2018-03-29,0001047469-18-002333,59868,3109,2.255,7.149,1.269,4.159,1.704,3.19,0.184,1.47,22.499,0.301,6.23,0.234,0.15,leadership_governance,operational_excellence,11.024,1.737,8.068,0.728,19.26,35.3,0.9317,,,,
F,Ford Motor,Consumer Discretionary,2019,DEF 14A,2019-03-29,0001047469-19-001743,73457,3198,2.518,4.111,1.021,2.614,1.484,2.328,0.299,0.817,16.581,0.191,5.963,0.177,0.123,leadership_governance,operational_excellence,9.339,1.661,6.153,0.698,22.97,34.3,0.8592,,,,
F,Ford Motor,Consumer Discretionary,2020,DEF 14A,2020-04-03,0001047469-20-002039,44485,2668,2.855,7.306,1.888,4.339,2.585,4.069,0.315,1.416,25.02,0.315,5.777,0.225,0.225,leadership_governance,operational_excellence,12.521,1.843,8.093,0.743,16.67,34.6,0.7939,,,,
F,Ford Motor,Consumer Discretionary,2021,DEF 14A,2021-04-01,0001047469-21-000813,53600,3000,2.892,8.451,1.381,4.216,2.799,4.011,0.597,1.213,22.668,0.522,5.634,0.224,0.354,leadership_governance,operational_excellence,12.519,1.604,6.959,0.773,17.87,33.5,0.9763,,,,
F,Ford Motor,Consumer Discretionary,2022,DEF 14A,2022-04-01,0001104659-22-041499,80881,3311,2.695,4.686,1.162,3.215,1.793,3.153,0.371,0.878,16.629,0.185,5.267,0.235,0.148,leadership_governance,operational_excellence,9.99,1.62,6.837,0.721,24.43,33.1,0.8332,,,,
F,Ford Motor,Consumer Discretionary,2023,DEF 14A,2023-03-31,0001558370-23-005203,60740,2849,2.684,4.511,1.465,4.774,3.441,5.104,0.313,1.399,22.308,0.329,5.976,0.23,0.313,leadership_governance,customer_client_focus,11.08,1.613,8.215,0.746,21.32,30.2,0.8877,,,,
F,Ford Motor,Consumer Discretionary,2024,DEF 14A,2024-03-29,0001104659-24-040871,56944,2927,3.354,3.986,1.703,4.583,2.81,4.952,0.386,2.301,24.041,0.474,6.111,0.281,0.316,leadership_governance,customer_client_focus,12.345,2.037,8.113,0.717,19.45,33.0,0.9745,,,,
HD,Home Depot,Consumer Discretionary,2016,DEF 14A,2016-04-04,0001193125-16-529376,34703,1793,2.132,6.973,0.807,2.046,3.429,5.331,0.432,0.173,27.606,0.836,8.213,0.231,0.058,leadership_governance,operational_excellence,8.443,1.556,5.936,0.689,19.35,33.4,,leadership_governance|profitable_growth|integrity_responsibility|diversity_inclusion,leadership_governance,shareholder_primacy,"The company emphasizes strong corporate governance, Board independence, and risk oversight as foundational to shareholder value creation and long-term financial performance."
HD,Home Depot,Consumer Discretionary,2017,DEF 14A,2017-04-03,0001193125-17-108511,38282,1955,2.168,6.975,0.888,1.959,3.396,5.251,0.47,0.209,28.656,0.731,8.359,0.235,0.078,leadership_governance,operational_excellence,9.195,1.411,5.564,0.734,19.58,33.1,0.9861,profitable_growth|leadership_governance|integrity_responsibility,leadership_governance,shareholder_primacy,The company emphasizes strong corporate governance and independent board oversight while returning shareholder value through dividends and buybacks.
HD,Home Depot,Consumer Discretionary,2018,DEF 14A,2018-04-02,0001193125-18-104990,40301,2098,2.407,6.848,0.819,2.035,3.648,5.186,0.521,0.199,28.684,0.447,8.337,0.223,0.025,leadership_governance,operational_excellence,9.082,1.737,6.129,0.679,19.21,33.0,0.9874,profitable_growth|leadership_governance|diversity_inclusion,leadership_governance,shareholder_primacy,"The Home Depot emphasizes strong corporate governance through independent Board oversight, shareholder value creation via dividends and repurchases, and board diversity while maintaining a combined Chairman-CEO structure with a Lead Director."
HD,Home Depot,Consumer Discretionary,2019,DEF 14A,2019-04-08,0000354950-19-000014,41000,2163,3.049,6.683,0.976,2.39,4.366,5.098,0.488,0.463,28.049,0.39,8.902,0.073,0.073,leadership_governance,operational_excellence,9.78,1.488,6.61,0.736,18.96,34.0,0.9768,leadership_governance|integrity_responsibility,leadership_governance,shareholder_primacy,"Home Depot emphasizes strong corporate governance through independent board oversight, robust policies, and sound management accountability to protect shareholder interests and long-term company success."
HD,Home Depot,Consumer Discretionary,2020,DEF 14A,2020-04-06,0000354950-20-000024,44500,2333,2.652,6.674,1.101,2.337,4.607,4.921,0.449,0.674,25.573,0.494,9.416,0.112,0.09,leadership_governance,operational_excellence,9.663,1.663,6.652,0.706,19.07,34.1,0.9844,profitable_growth|leadership_governance|integrity_responsibility,profitable_growth,shareholder_primacy,The company prioritizes returning excess cash to shareholders through repurchases while maintaining strong corporate governance and ethical conduct.
HD,Home Depot,Consumer Discretionary,2021,DEF 14A,2021-04-05,0000354950-21-000116,43167,2192,3.591,6.556,1.042,2.247,3.266,5.027,0.649,0.857,26.409,0.718,9.452,0.093,0.301,leadership_governance,operational_excellence,9.66,1.39,6.927,0.748,19.69,32.8,0.9812,profitable_growth|customer_client_focus|people_talent|innovation_science|operational_excellence|integrity_responsibility|leadership_governance|safety,profitable_growth,balanced,"The Home Depot emphasizes shareholder value creation and profitable growth while balancing commitments to customer service excellence, associate development, operational innovation, strong governance, safety, and ethical culture."
HD,Home Depot,Consumer Discretionary,2022,DEF 14A,2022-04-04,0000354950-22-000116,61259,2961,2.171,6.954,0.914,2.612,4.195,4.44,0.8,1.094,25.759,0.441,7.934,0.131,0.18,leadership_governance,operational_excellence,10.235,1.583,8.652,0.732,20.69,33.9,0.9654,people_talent|diversity_inclusion|customer_client_focus|leadership_governance|integrity_responsibility|community_social_good,people_talent,stakeholder_oriented,"The Home Depot emphasizes a servant-leadership culture that prioritizes frontline associates and customers, values diversity and inclusion across the organization, and believes strong board diversity and inclusive talent development drive competitive advantage and long-term shareholder value."
HD,Home Depot,Consumer Discretionary,2023,DEF 14A,2023-04-03,0000354950-23-000101,50560,2537,2.492,6.685,1.028,2.037,3.956,4.688,0.732,0.87,27.967,0.356,9.177,0.178,0.198,leadership_governance,operational_excellence,10.621,1.424,6.922,0.764,19.93,31.3,0.9339,people_talent|customer_client_focus|leadership_governance|integrity_responsibility,people_talent,balanced,"The Home Depot's culture prioritizes employees and customers through servant leadership, strong governance oversight, and values-driven performance that attract and retain talent while delivering superior customer experiences."
HD,Home Depot,Consumer Discretionary,2024,DEF 14A,2024-04-01,0000354950-24-000108,50252,2486,3.124,5.632,0.975,2.388,3.602,4.696,1.672,1.95,24.477,0.438,8.219,0.159,0.199,leadership_governance,operational_excellence,9.83,1.95,7.363,0.669,20.21,30.9,0.9438,integrity_responsibility|leadership_governance|people_talent|diversity_inclusion|customer_client_focus|community_social_good|profitable_growth,leadership_governance,balanced,"The Home Depot emphasizes servant leadership, strong board governance, and a culture centered on customers and associates, while maintaining alignment with shareholder interests through equity-based compensation and oversight mechanisms."
LOW,Lowe's,Consumer Discretionary,2016,DEF 14A,2016-04-11,0001193125-16-536350,36960,1735,2.11,5.898,0.541,3.598,1.163,3.923,0.46,1.407,32.873,0.514,8.956,0.135,0.271,leadership_governance,operational_excellence,9.713,1.245,5.628,0.773,21.3,29.5,,,,,
LOW,Lowe's,Consumer Discretionary,2017,DEF 14A,2017-04-21,0001193125-17-131092,32800,1539,2.134,5.183,0.305,3.323,1.402,3.75,0.335,2.5,36.829,0.488,7.988,0.152,0.213,leadership_governance,operational_excellence,10.152,1.341,5.091,0.767,21.31,27.8,0.9718,,,,
LOW,Lowe's,Consumer Discretionary,2018,DEF 14A,2018-04-20,0001193125-18-123722,33356,1616,2.189,5.007,0.33,3.777,1.589,3.987,0.42,0.48,40.472,0.48,9.144,0.15,0.27,leadership_governance,operational_excellence,10.463,1.229,5.546,0.79,20.64,28.7,0.9823,,,,
LOW,Lowe's,Consumer Discretionary,2019,DEF 14A,2019-04-18,0001193125-19-110021,35716,1898,2.072,5.824,0.98,3.808,1.82,3.836,0.476,0.952,35.502,0.588,7.28,0.14,0.168,leadership_governance,operational_excellence,10.611,1.148,5.04,0.805,18.82,30.8,0.9417,,,,
LOW,Lowe's,Consumer Discretionary,2020,DEF 14A,2020-04-16,0001193125-20-108770,40619,1880,2.191,4.628,1.354,5.17,1.354,3.397,0.591,1.034,31.365,0.591,9.281,0.123,0.148,leadership_governance,people_talent,9.232,1.526,6.081,0.716,21.61,28.7,0.9347,,,,
LOW,Lowe's,Consumer Discretionary,2021,DEF 14A,2021-04-15,0001193125-21-117203,40066,1764,2.471,5.765,1.298,4.243,2.521,4.368,0.998,2.221,33.844,0.699,9.235,0.25,0.574,leadership_governance,operational_excellence,11.83,1.373,6.489,0.792,22.71,25.3,0.9564,,,,
LOW,Lowe's,Consumer Discretionary,2022,DEF 14A,2022-04-14,0001193125-22-105006,60974,2642,2.099,5.068,1.0,4.904,3.608,3.28,0.607,1.755,27.159,0.886,8.003,0.148,0.246,leadership_governance,operational_excellence,10.955,1.591,7.659,0.746,23.08,27.3,0.931,,,,
LOW,Lowe's,Consumer Discretionary,2023,DEF 14A,2023-04-13,0001193125-23-099980,43154,1958,2.526,5.608,1.46,3.291,2.688,3.615,0.487,2.503,38.814,0.649,8.991,0.232,0.209,leadership_governance,operational_excellence,12.977,1.112,6.813,0.842,22.04,25.2,0.9199,,,,
LOW,Lowe's,Consumer Discretionary,2024,DEF 14A,2024-04-18,0001193125-24-100050,40688,1771,2.482,5.776,1.376,3.834,2.212,3.908,0.762,2.949,36.718,0.713,8.209,0.172,0.32,leadership_governance,operational_excellence,12.534,0.836,6.513,0.875,22.97,24.6,0.9895,,,,
MCD,McDonald's,Consumer Discretionary,2016,DEF 14A,2016-04-15,0000063908-16-000113,33190,1614,2.712,5.212,0.362,1.537,2.049,4.188,0.572,0.783,27.84,0.663,13.257,0.03,0.06,leadership_governance,operational_excellence,10.063,1.868,6.086,0.687,20.56,28.5,,leadership_governance|diversity_inclusion|integrity_responsibility|operational_excellence,leadership_governance,balanced,"McDonald's emphasizes strong corporate governance through independent board oversight, director diversity and qualifications, rigorous risk management, and transparent accountability mechanisms that support effective stewardship of the company."
MCD,McDonald's,Consumer Discretionary,2017,DEF 14A,2017-04-13,0001206774-17-001192,48143,2072,2.472,4.507,0.478,2.409,2.223,4.009,0.976,1.309,28.249,0.935,11.383,0.042,0.125,leadership_governance,operational_excellence,9.493,1.932,7.374,0.662,23.24,28.8,0.9179,leadership_governance|profitable_growth|diversity_inclusion,leadership_governance,shareholder_primacy,"The company emphasizes strong, independent Board governance and shareholder value creation through robust director selection, oversight processes, and fiduciary responsibility to shareholders."
MCD,McDonald's,Consumer Discretionary,2018,DEF 14A,2018-04-12,0001206774-18-001176,35074,1648,3.421,4.562,0.912,2.281,2.652,4.932,1.654,2.566,32.389,1.169,11.975,0.114,0.143,leadership_governance,customer_client_focus,12.545,1.169,7.527,0.83,21.28,28.2,0.9333,leadership_governance|profitable_growth|diversity_inclusion,leadership_governance,shareholder_primacy,"The company emphasizes strong independent leadership, robust corporate governance structures, and diverse Board composition designed to enhance shareholder value and represent shareholders' best interests."
MCD,McDonald's,Consumer Discretionary,2019,DEF 14A,2019-04-11,0001206774-19-001299,34257,1521,2.744,4.758,1.08,2.598,2.656,5.546,0.555,1.985,35.788,0.876,12.289,0.204,0.058,leadership_governance,customer_client_focus,13.194,1.255,6.977,0.826,22.52,25.9,0.9741,leadership_governance|diversity_inclusion|integrity_responsibility|profitable_growth|people_talent|community_social_good,leadership_governance,balanced,"McDonald's emphasizes strong, independent Board governance with diversity, accountability, and sound oversight balanced with commitment to shareholders, employees, customers, and communities."
MCD,McDonald's,Consumer Discretionary,2020,DEF 14A,2020-04-09,0001206774-20-001117,48876,2086,2.107,3.171,0.737,3.028,2.21,4.747,0.389,1.207,29.585,1.207,9.166,0.246,0.143,leadership_governance,customer_client_focus,13.156,1.575,7.284,0.786,23.43,28.3,0.9155,leadership_governance|diversity_inclusion|people_talent|integrity_responsibility|profitable_growth,leadership_governance,balanced,"McDonald's emphasizes strong corporate governance, board diversity and independence, talent development, and sound succession planning while framing these practices as benefiting both the company's long-term success and shareholder interests."
MCD,McDonald's,Consumer Discretionary,2021,DEF 14A,2021-04-08,0001206774-21-001039,37036,1725,2.889,3.942,0.837,2.943,3.726,4.671,1.269,1.485,32.293,2.025,12.285,0.459,0.486,leadership_governance,customer_client_focus,13.446,1.323,6.831,0.821,21.47,26.0,0.9174,diversity_inclusion|leadership_governance|people_talent|integrity_responsibility|community_social_good|environmental_stewardship|profitable_growth,leadership_governance,balanced,"The company emphasizes strong corporate governance, board diversity and refreshment, human capital management, and sustainability alongside shareholder value creation and accountability."
MCD,McDonald's,Consumer Discretionary,2022,DEFC14A,2022-04-08,0001206774-22-001058,56774,2768,4.139,3.435,1.145,3.875,3.452,3.576,1.938,2.589,27.618,2.202,8.965,0.299,0.845,leadership_governance,integrity_responsibility,14.338,1.885,6.341,0.768,20.51,28.6,0.9327,integrity_responsibility|operational_excellence|people_talent|diversity_inclusion|customer_client_focus|community_social_good|environmental_stewardship|leadership_governance|safety|profitable_growth,leadership_governance,balanced,"McDonald's emphasizes strong corporate governance, board independence, and diversity while balancing shareholder accountability with commitments to food safety, employee development, community support, and sustainable practices across its operations and supply chain."
MCD,McDonald's,Consumer Discretionary,2023,DEF 14A,2023-04-14,0001558370-23-005957,51146,2523,4.145,3.93,1.603,3.969,3.441,3.676,1.584,2.072,27.509,2.033,8.427,0.411,0.508,leadership_governance,integrity_responsibility,15.29,1.701,6.687,0.8,20.27,26.5,0.9379,leadership_governance|diversity_inclusion|people_talent|integrity_responsibility,leadership_governance,balanced,"The company emphasizes strong corporate governance through independent board oversight, board refreshment with diverse talent, shareholder engagement, and robust internal controls while advancing diversity, equity, and human capital management initiatives."
MCD,McDonald's,Consumer Discretionary,2024,DEF 14A,2024-04-08,0001558370-24-004818,55024,2627,3.798,4.053,1.581,3.271,2.635,3.38,1.745,1.527,29.024,1.654,8.542,0.309,0.509,leadership_governance,operational_excellence,14.212,1.508,6.325,0.808,20.95,27.6,0.9645,leadership_governance|integrity_responsibility|community_social_good|operational_excellence|people_talent|profitable_growth,leadership_governance,balanced,"McDonald's emphasizes strong corporate governance, board oversight, and risk management while balancing shareholder interests with responsibility toward employees, communities, and sustainability matters."
NKE,Nike,Consumer Discretionary,2016,DEF 14A,2016-07-25,0000320187-16-000339,29584,1795,2.062,6.253,0.777,4.834,1.622,2.738,0.473,0.406,27.887,0.203,6.896,0.135,0.0,leadership_governance,operational_excellence,8.282,1.521,7.403,0.69,16.48,38.6,,leadership_governance|integrity_responsibility,leadership_governance,balanced,"Nike emphasizes sound corporate governance through a well-structured board with independent oversight, clear committee responsibilities, and ethical conduct standards that balance shareholder interests with broader accountability to the company and its stakeholders."
NKE,Nike,Consumer Discretionary,2017,DEF 14A,2017-07-25,0000320187-17-000127,29366,1711,2.213,7.321,0.647,3.303,1.669,2.486,0.511,0.306,28.707,0.102,8.309,0.136,0.0,leadership_governance,operational_excellence,6.674,1.532,7.628,0.627,17.16,36.6,0.9657,leadership_governance|integrity_responsibility,leadership_governance,balanced,"Nike emphasizes strong corporate governance through independent board leadership, robust committee oversight, and ethical conduct standards applied to all directors and employees, balanced with sound fiduciary responsibility to shareholders and the business."
NKE,Nike,Consumer Discretionary,2018,DEF 14A,2018-07-25,0000320187-18-000144,27279,1720,3.556,5.755,0.88,5.022,2.016,3.043,0.513,1.136,29.18,0.147,7.185,0.073,0.0,leadership_governance,operational_excellence,7.735,1.503,7.258,0.675,15.86,36.9,0.9796,leadership_governance|integrity_responsibility|diversity_inclusion,leadership_governance,balanced,"Nike emphasizes sound corporate governance through independent board oversight, ethical conduct standards, and inclusive director selection practices that value diverse perspectives and qualifications."
NKE,Nike,Consumer Discretionary,2019,DEF 14A,2019-07-23,0000320187-19-000053,25723,1567,4.082,5.365,1.283,5.054,2.721,4.043,0.661,1.438,33.083,0.156,6.453,0.117,0.0,leadership_governance,operational_excellence,7.192,1.011,7.309,0.754,16.42,35.2,0.9636,leadership_governance|diversity_inclusion|profitable_growth|integrity_responsibility|community_social_good|environmental_stewardship|people_talent,leadership_governance,balanced,"Nike emphasizes strong corporate governance, board diversity and expertise, and responsible stewardship of long-term shareholder value alongside commitment to sustainability, community impact, and employee engagement."
NKE,Nike,Consumer Discretionary,2020,DEF 14A,2020-07-24,0000320187-20-000049,40179,2114,2.788,3.509,0.796,4.206,1.518,3.758,0.548,0.871,24.69,0.274,6.496,0.075,0.025,leadership_governance,people_talent,7.715,1.369,7.939,0.699,19.01,36.4,0.91,leadership_governance|diversity_inclusion|integrity_responsibility,leadership_governance,balanced,"Nike emphasizes strong corporate governance through independent board leadership, director qualification and diversity standards, and robust oversight of risks including social responsibility, sustainability, and workplace practices."
NKE,Nike,Consumer Discretionary,2021,DEF 14A,2021-08-09,0000320187-21-000035,36535,1767,4.598,4.571,2.217,7.034,6.733,3.339,0.849,2.299,26.03,1.259,8.157,0.246,0.246,leadership_governance,people_talent,10.374,1.642,6.815,0.727,20.68,28.7,0.8893,leadership_governance|profitable_growth|operational_excellence,leadership_governance,shareholder_primacy,"NIKE emphasizes strong corporate governance and disciplined leadership as essential to navigating disruption, executing strategy, and creating long-term shareholder value responsibly and sustainably."
NKE,Nike,Consumer Discretionary,2022,DEF 14A,2022-07-21,0000320187-22-000041,35611,1747,3.454,3.959,1.32,6.374,1.994,3.005,0.646,1.881,24.711,0.73,7.75,0.14,0.225,leadership_governance,people_talent,8.312,1.067,8.031,0.772,20.38,32.7,0.922,leadership_governance|profitable_growth|heritage_longevity,leadership_governance,shareholder_primacy,"NIKE emphasizes strong governance practices, long-term shareholder value creation, and pride in its 50-year heritage while executing strategic transformation."
NKE,Nike,Consumer Discretionary,2023,DEF 14A,2023-07-20,0000320187-23-000040,35427,1578,4.121,4.206,1.468,5.702,5.815,3.105,0.847,2.286,26.787,1.327,8.214,0.254,0.282,leadership_governance,diversity_inclusion,10.246,1.355,7.508,0.766,22.45,27.6,0.9317,innovation_science|leadership_governance|diversity_inclusion|profitable_growth,leadership_governance,balanced,"Nike emphasizes strong corporate governance, board diversity and expertise, transparency with shareholders, and innovation as drivers of sustained business growth and stakeholder value."
NKE,Nike,Consumer Discretionary,2024,DEF 14A,2024-07-25,0000320187-24-000045,36303,1644,4.104,3.856,1.35,4.848,4.848,3.168,0.937,2.066,26.141,1.212,8.952,0.275,0.248,leadership_governance,people_talent,10.137,2.038,7.52,0.665,22.08,28.0,0.9717,leadership_governance|profitable_growth,leadership_governance,shareholder_primacy,"Nike's proxy emphasizes strong corporate governance, board independence and refreshment, and shareholder engagement to enable sustained business growth and shareholder value."
SBUX,Starbucks,Consumer Discretionary,2016,DEF 14A,2016-01-25,0001567619-16-001713,39870,1936,2.734,6.22,0.602,2.734,2.508,3.938,0.226,0.201,28.894,0.125,7.374,0.201,0.05,leadership_governance,operational_excellence,8.653,1.354,6.521,0.729,20.59,31.0,,leadership_governance|integrity_responsibility|people_talent|profitable_growth,leadership_governance,balanced,"Starbucks emphasizes strong corporate governance, board independence, director accountability, talent attraction and retention, and shareholder engagement as foundational to long-term success and stakeholder trust."
SBUX,Starbucks,Consumer Discretionary,2017,DEF 14A,2017-01-27,0001672764-17-000003,36910,1823,2.438,4.904,0.867,2.655,2.465,4.145,0.027,0.135,30.452,0.081,8.101,0.19,0.108,leadership_governance,operational_excellence,8.914,1.084,6.665,0.783,20.25,31.1,0.9848,leadership_governance|people_talent|operational_excellence|integrity_responsibility,leadership_governance,balanced,"Starbucks emphasizes strong board governance, director independence, and rigorous oversight while prioritizing talent attraction and operational excellence through experienced leadership and robust oversight mechanisms that balance shareholder and stakeholder interests."
SBUX,Starbucks,Consumer Discretionary,2018,DEF 14A,2018-01-26,0001193125-18-021792,41446,2121,2.509,3.426,1.037,3.064,4.198,4.222,0.434,0.724,28.23,0.531,7.89,0.241,0.121,leadership_governance,customer_client_focus,11.533,2.027,6.128,0.701,19.54,31.6,0.9788,leadership_governance|people_talent|diversity_inclusion|profitable_growth,leadership_governance,balanced,"Starbucks emphasizes strong corporate governance, board independence, director quality and expertise, talent attraction and retention, and diversity as foundations for shareholder success and effective business oversight."
SBUX,Starbucks,Consumer Discretionary,2019,DEF 14A,2019-01-25,0001193125-19-017145,41563,1970,2.093,4.716,1.059,3.104,2.671,4.355,0.529,1.612,30.724,0.265,6.977,0.192,0.12,leadership_governance,operational_excellence,12.92,2.093,5.798,0.721,21.1,30.2,0.9759,leadership_governance|profitable_growth|diversity_inclusion|environmental_stewardship|integrity_responsibility,leadership_governance,balanced,"Starbucks emphasizes strong corporate governance, board independence and oversight, long-term shareholder value creation, board diversity, and environmental sustainability commitments."
SBUX,Starbucks,Consumer Discretionary,2020,DEF 14A,2020-01-24,0001206774-20-000230,45043,2109,2.62,4.485,1.931,3.996,3.952,4.64,1.399,2.553,30.06,0.644,7.238,0.289,0.044,leadership_governance,customer_client_focus,14.431,1.709,5.817,0.788,21.36,29.7,0.9253,profitable_growth|leadership_governance|diversity_inclusion|community_social_good|integrity_responsibility|people_talent|environmental_stewardship,leadership_governance,balanced,"Starbucks emphasizes strong corporate governance, shareholder returns, board independence and effectiveness, diversity and inclusion, ethical business conduct, and community investment as interconnected pillars of long-term value creation."
